Time,Latitude,Longitude
0,35.211037,-97.438866
5,35.222366,-97.45298
10,35.261436,-97.47378
15,35.26264,-97.47451
20,35.26264,-97.47452
25,35.265636,-97.47737
30,35.340107,-97.49224
35,35.41994,-97.48859
40,35.458927,-97.532814
45,35.46053,-97.63156
50,35.47257,-97.733025
55,35.50106,-97.83077
60,35.501316,-97.94165
65,35.52991,-98.05189
70,35.530773,-98.16442
75,35.53605,-98.273796
80,35.529335,-98.38426
85,35.529556,-98.50059
90,35.536488,-98.61419
95,35.52057,-98.72248
100,35.520123,-98.835945
105,35.502594,-98.94335
110,35.48013,-99.05
115,35.455364,-99.15439
120,35.421776,-99.25842
125,35.418236,-99.37201
130,35.386204,-99.46552
135,35.35438,-99.56418
140,35.281994,-99.62334
145,35.264923,-99.64069
150,35.264828,-99.64063
155,35.264828,-99.64063
160,35.265366,-99.641396
165,35.265354,-99.641365
170,35.261745,-99.70875
175,35.22985,-99.81576
180,35.22901,-99.93259
185,35.226913,-100.04783
190,35.226994,-100.16126
195,35.227936,-100.273575
200,35.227097,-100.38638
205,35.227123,-100.501236
210,35.227234,-100.616295
215,35.21526,-100.72818
220,35.18048,-100.82745
225,35.183147,-100.94029
230,35.191074,-101.05415
235,35.20764,-101.16036
240,35.20778,-101.27551
245,35.21894,-101.3877
250,35.221462,-101.50236
255,35.210842,-101.61481
260,35.192883,-101.72446
265,35.192505,-101.83214
270,35.18705,-101.93409
275,35.19103,-102.0468
280,35.20729,-102.16088
285,35.215508,-102.27381
290,35.236897,-102.38758
295,35.25755,-102.4985
300,35.272945,-102.61296
305,35.268818,-102.72919
310,35.23683,-102.838425
315,35.199734,-102.94564
320,35.18343,-103.05836
325,35.152092,-103.16747
330,35.115257,-103.27495
335,35.124714,-103.38775
340,35.17315,-103.485535
345,35.172768,-103.597244
350,35.157658,-103.70217
355,35.159042,-103.70167
360,35.1594,-103.70179
365,35.147926,-103.79331
370,35.11999,-103.900314
375,35.10943,-104.01425
380,35.07985,-104.12585
385,35.068653,-104.24071
390,35.050274,-104.35422
395,35.01251,-104.46095
400,34.98116,-104.57047
405,34.946884,-104.677124
410,34.968815,-104.78602
415,34.971947,-104.9009
420,34.978043,-105.0195
425,34.983997,-105.13808
430,34.989727,-105.254524
435,34.995377,-105.37156
440,35.003674,-105.48722
445,35.004974,-105.60317
450,35.007736,-105.715706
455,35.00534,-105.83373
460,35.00497,-105.95072
465,35.01412,-106.06854
470,35.057503,-106.17382
475,35.09917,-106.279816
480,35.090717,-106.375015
485,35.063335,-106.47117
490,35.098923,-106.5718
495,35.10553,-106.68067
500,35.07083,-106.776596
505,35.045906,-106.8863
510,35.02006,-106.99906
515,34.98517,-107.10871
520,34.991684,-107.22471
525,35.01878,-107.32942
530,35.02692,-107.424614
535,35.038475,-107.48917
540,35.054356,-107.51964
545,35.075836,-107.61857
550,35.06721,-107.73006
555,35.12122,-107.82515
560,35.186462,-107.90316
565,35.26172,-107.975784
570,35.34959,-108.01797
575,35.38251,-108.12621
580,35.399746,-108.23943
585,35.43515,-108.33768
590,35.48043,-108.43657
595,35.51404,-108.548515
600,35.529408,-108.663994
605,35.524555,-108.774
610,35.50563,-108.8337
615,35.497463,-108.853386
620,35.451485,-108.95172
625,35.37906,-109.02424
630,35.312267,-109.10332
635,35.28295,-109.21075
640,35.237488,-109.30385
645,35.19684,-109.406654
650,35.150784,-109.50751
655,35.105118,-109.6093
660,35.080444,-109.72176
665,35.068146,-109.7799
670,35.069187,-109.79315
675,35.01385,-109.80117
680,34.954987,-109.78798
685,34.906696,-109.78607
690,34.86387,-109.791916
695,34.86426,-109.79055
700,34.864555,-109.788216
705,34.865463,-109.7886
710,34.865383,-109.79059
715,34.86386,-109.791916
720,34.86384,-109.7919
725,34.863865,-109.79192
730,34.864246,-109.79217
735,34.91357,-109.78531
740,34.961876,-109.79239
745,34.97666,-109.793625
750,35.035652,-109.80047
755,35.082973,-109.79599
760,35.05457,-109.79178
765,35.0032,-109.888664
770,34.990112,-110.00253
775,34.957638,-110.109436
780,34.906662,-110.18439
785,34.934166,-110.27489
790,34.96058,-110.37771
795,34.97238,-110.49292
800,35.002277,-110.604546
805,35.03955,-110.70563
810,35.062527,-110.81819
815,35.094273,-110.92995
820,35.104668,-110.99273
825,35.104343,-110.993546
830,35.104343,-110.993546
835,35.104343,-110.993546
840,35.104343,-110.993546
845,35.104343,-110.993546
850,35.104343,-110.993546
855,35.104343,-110.993546
860,35.10435,-110.99352
865,35.11046,-111.03123
870,35.120113,-111.148506
875,35.156322,-111.25748
880,35.185356,-111.36597
